Current_Occupancy,Queue_Main_In,Queue_Entrance,Queue_Main_Out,Green_T1,Green_T2,Green_T3
6,21,10,26,35,43,16
56,23,9,22,10,60,12
65,10,1,18,10,60,11
52,10,17,12,10,58,10
16,29,18,19,39,25,23
0,6,3,15,23,57,11
12,15,15,1,42,10,43
32,6,0,18,24,60,10
34,1,2,22,10,60,10
20,2,9,25,10,60,22
40,10,20,0,12,59,10
6,27,3,8,59,20,12
65,14,7,23,10,60,11
2,2,9,23,12,58,22
11,3,11,28,10,58,25
32,6,4,16,21,56,11
56,2,13,30,10,60,11
53,30,7,28,10,60,12
57,2,3,20,12,59,12
12,3,0,26,11,58,11
21,0,10,24,10,58,26
52,1,8,0,12,59,10
4,15,16,18,25,33,27
28,6,19,23,13,42,36
8,18,19,19,28,32,30
61,20,5,8,12,60,10
12,6,5,25,15,58,12
11,21,4,22,38,44,10
40,29,17,19,10,60,10
8,25,19,20,35,28,27
42,22,0,10,10,60,12
56,16,4,25,10,58,10
26,22,5,19,41,38,10
57,9,9,29,10,60,10
56,23,16,9,10,59,11
24,8,0,23,24,59,12
2,22,10,3,58,10,24
26,20,9,4,54,10,26
42,26,9,29,11,60,11
53,28,10,25,10,58,11
22,18,16,26,28,40,24
23,21,12,13,42,23,23
14,13,1,24,30,54,10
5,13,0,25,32,57,12
1,21,19,9,40,14,34
61,21,9,27,10,58,10
65,29,19,29,10,58,10
51,27,13,8,10,60,12
18,17,20,22,26,34,30
36,27,13,3,10,60,12
62,28,20,29,10,59,12
30,14,1,9,53,31,10
15,7,17,24,12,45,31
9,4,19,2,12,10,59
47,19,14,26,10,59,12
56,8,11,9,10,59,12
0,1,19,28,10,53,34
29,9,9,1,44,10,44
58,5,18,23,10,60,12
37,22,0,20,12,60,10
30,17,3,28,29,50,12
52,17,18,21,10,60,12
14,30,3,4,60,12,10
3,28,6,21,45,33,10
46,20,1,13,12,60,11
46,11,4,17,10,59,10
42,6,7,22,10,60,10
22,1,14,14,10,41,43
22,16,12,18,29,35,23
9,7,9,4,33,17,38
50,24,14,10,11,60,10
50,4,16,4,10,60,12
48,20,8,26,12,60,10
29,9,10,8,31,24,32
61,6,3,20,10,59,10
45,1,17,14,11,59,10
18,6,9,23,14,55,22
30,12,11,1,45,12,40
24,20,17,29,25,37,24
42,10,7,29,12,60,10
57,20,13,3,10,58,10
9,25,20,10,38,18,30
1,26,17,14,41,21,27
54,0,9,17,10,59,10
35,2,16,30,10,58,30
25,4,4,18,13,60,12
34,27,15,14,41,24,24
22,8,12,6,28,18,43
25,12,1,11,46,40,10
4,10,5,10,38,35,20
18,6,18,12,17,29,44
48,30,1,17,10,58,11
54,17,11,29,10,60,10
37,21,9,9,10,60,11
23,16,11,19,33,36,19
8,30,7,21,47,33,11
30,24,0,14,58,35,10
58,4,16,17,10,60,11
6,0,18,3,12,13,60
23,23,12,5,52,10,28
20,2,10,24,11,58,27
38,18,7,2,11,58,11
44,17,11,9,11,60,10
42,3,1,6,11,58,11
11,16,1,30,28,55,10
51,7,16,21,10,59,12
11,19,11,18,36,33,21
22,4,8,1,26,10,56
47,25,2,18,10,60,10
65,6,8,14,10,58,10
28,12,11,20,24,39,25
57,8,10,21,10,60,12
2,9,7,22,21,51,16
5,19,5,12,49,29,10
23,27,14,9,50,17,27
54,22,0,10,10,60,12
5,28,3,2,59,11,12
53,13,14,14,10,58,10
8,30,5,29,42,38,10
65,28,17,27,10,60,10
21,19,0,4,58,16,10
47,16,15,23,10,60,10
10,0,8,23,11,59,24
29,6,11,0,30,12,56
16,17,18,4,37,10,43
4,17,0,7,60,28,10
10,28,7,2,60,11,15
13,23,6,6,59,17,16
58,28,18,17,12,59,12
56,2,17,24,11,60,10
18,17,5,18,39,38,10
53,14,13,11,11,60,10
60,9,15,20,10,58,10
43,3,12,30,11,60,11
20,11,5,28,20,56,10
65,13,20,10,10,59,10
55,6,17,30,10,60,10
3,11,17,24,18,40,29
14,30,12,14,47,24,17
63,9,20,18,10,58,10
25,13,16,1,40,12,47
60,4,1,12,11,60,10
25,1,4,17,11,60,14
37,28,0,28,12,58,11
19,7,2,15,26,54,10
62,13,11,28,10,58,10
21,29,17,27,37,32,20
15,8,20,21,14,40,35
0,3,4,8,16,47,26
13,12,19,20,20,34,33
44,10,11,9,12,60,10
30,25,9,30,37,42,14
22,12,10,21,26,43,19
65,5,9,9,11,60,12
9,4,12,29,10,60,22
9,16,19,1,39,10,45
48,3,16,10,10,60,12
4,27,10,17,46,29,15
55,14,19,0,12,58,11
14,16,4,10,50,30,10
50,2,13,13,10,58,10
31,8,11,22,17,48,26
31,7,1,16,24,58,10
34,6,4,28,12,59,11
26,2,11,12,11,45,40
4,6,18,10,14,24,46
22,14,0,18,39,49,11
17,5,8,29,11,59,16
56,9,12,27,12,60,10
54,1,10,21,10,59,12
30,27,13,22,37,30,17
16,3,16,3,10,10,60
64,20,5,9,11,60,10
30,19,9,20,33,38,17
29,6,12,9,18,29,38
31,19,6,24,33,45,11
27,30,17,28,35,32,22
45,26,16,1,10,60,10
65,8,16,5,10,60,10
63,6,2,29,10,60,10
51,28,20,18,12,59,10
10,0,17,23,10,53,40
7,24,11,9,47,16,20
25,27,19,0,50,10,35
31,29,17,21,39,30,22
16,30,5,14,55,27,11
29,17,3,8,54,27,12
20,17,11,9,43,22,27
14,4,16,24,10,50,31
4,19,18,11,34,20,34
9,2,16,4,10,15,60
18,0,5,28,10,60,11
26,18,6,10,49,27,14
35,23,8,2,58,11,20
15,12,4,22,26,53,10
39,18,14,25,10,60,10
58,23,19,28,10,58,10
44,27,16,21,10,59,10
59,22,18,18,10,58,10
6,11,9,19,24,43,20
42,17,18,16,12,58,10
20,3,15,8,12,29,49
55,15,11,3,10,60,12
32,8,10,2,38,10,46
54,22,3,28,10,58,10
63,19,17,29,12,60,10
54,22,9,7,10,60,10
60,15,10,29,10,60,12
10,24,4,9,57,21,10
21,9,6,25,22,54,13
0,11,10,11,28,28,30
44,14,19,23,11,60,11
45,17,1,30,11,60,11
54,10,4,30,12,60,10
43,24,11,14,12,60,11
10,5,18,7,14,21,56
28,15,3,30,28,55,10
34,16,16,15,31,30,29
9,16,13,2,48,12,39
23,30,13,21,43,29,20
6,5,9,27,10,58,19
27,10,12,13,26,31,32
19,28,8,24,43,36,13
27,4,14,1,19,11,58
10,13,2,24,32,56,11
25,23,9,26,35,41,13
45,3,13,7,10,59,10
14,22,3,5,60,17,10
1,12,12,5,36,14,37
61,29,2,1,10,60,10
32,13,20,5,31,12,45
30,2,3,1,29,13,44
30,21,18,16,33,26,28
64,5,10,30,10,60,12
29,11,19,6,29,14,45
58,7,9,21,11,58,10
44,23,10,4,10,60,11
62,2,11,6,10,60,10
48,8,1,1,12,60,12
64,19,10,12,10,60,10
15,5,5,27,13,58,10
4,15,20,25,23,38,31
47,10,10,21,11,59,10
29,15,8,22,31,43,17
53,15,11,12,10,60,12
53,3,16,12,11,60,11
43,17,5,3,10,60,12
49,7,7,25,11,60,10
9,23,6,1,60,10,20
38,27,17,6,12,59,11
19,26,17,21,34,27,24
43,1,12,15,10,60,10
16,6,14,10,20,28,43
18,27,17,1,56,10,32
50,13,14,30,10,60,12
51,0,20,19,10,59,11
53,16,7,15,10,60,10
5,10,8,27,20,55,15
52,18,7,11,10,59,11
40,15,17,12,12,58,11
26,10,18,3,29,10,50
51,18,10,18,10,59,10
44,5,16,3,10,60,12
0,16,19,27,22,41,26
29,27,10,7,57,14,22
4,18,18,6,39,13,40
54,13,18,12,10,58,10
49,17,2,8,10,58,10
9,6,15,22,12,47,31
0,4,19,14,10,36,45
31,13,9,3,44,10,32
53,7,16,26,11,60,10
49,14,8,0,11,60,10
27,17,19,1,41,10,44
20,15,19,8,30,18,39
3,20,5,17,40,37,10
34,28,14,25,35,35,18
36,4,4,2,11,60,11
58,6,3,1,12,60,10
16,29,5,22,48,37,10
12,10,0,8,48,38,10
7,11,0,20,33,60,12
12,7,3,5,42,31,20
8,16,13,7,41,16,34
42,17,16,25,10,60,12
53,22,10,20,11,58,10
53,16,7,15,10,59,10
57,23,3,2,12,59,12
55,20,9,26,10,60,10
30,28,5,28,39,42,10
16,11,15,24,17,42,28
13,2,13,19,11,51,32
32,14,7,9,41,27,21
15,28,0,17,54,33,10
48,24,9,25,11,58,10
1,26,11,6,55,12,22
58,3,6,19,11,60,10
19,26,0,5,60,14,10
52,9,1,2,12,60,11
29,25,19,28,30,34,23
26,24,13,23,36,34,21
19,9,9,25,16,54,18
2,23,17,26,30,33,21
15,3,12,8,10,32,48
56,25,19,22,10,59,10
14,11,7,8,40,25,22
37,25,20,14,10,58,11
59,12,5,27,10,60,10
51,25,9,14,12,58,10
29,21,1,14,52,36,10
28,26,7,19,47,31,11
24,18,2,3,60,13,12
30,22,3,25,41,47,11
34,23,0,2,58,12,12
60,6,7,17,10,60,10
13,6,19,30,10,51,33
55,17,4,24,10,60,10
38,22,8,25,11,60,12
58,15,4,18,10,59,10
38,24,20,12,10,60,10
23,7,14,11,20,30,37
23,15,14,9,33,20,33
18,15,6,2,60,10,22
29,22,0,26,41,49,12
27,10,8,8,34,26,29
15,21,12,27,29,41,19
25,4,6,29,12,58,14
40,15,2,0,10,59,10
50,12,20,11,10,58,10
48,1,7,30,10,59,10
51,1,14,3,11,60,10
17,26,6,0,60,10,15
40,14,12,13,11,60,10
7,19,5,15,43,34,10
12,17,10,20,32,38,20
30,6,13,26,14,49,25
2,0,1,0,12,10,60
38,1,0,4,10,60,10
29,17,6,16,37,38,13
18,30,0,9,60,22,12
50,11,18,5,10,60,10
22,13,20,22,22,34,33
10,4,17,27,10,52,31
22,3,13,2,15,11,60
52,26,10,15,10,58,10
11,13,2,9,46,31,10
8,15,14,23,27,37,26
31,18,13,22,32,38,21
46,8,11,12,10,58,10
60,12,10,13,10,58,11
24,7,17,21,12,41,36
38,27,16,21,12,60,12
33,26,19,10,40,15,30
21,29,0,26,46,44,10
6,8,15,25,15,45,27
45,7,19,2,12,60,12
6,25,0,13,58,32,12
9,25,5,30,39,43,10
2,15,8,13,36,33,20
1,12,8,25,24,52,17
59,21,3,2,10,60,12
31,15,12,18,31,34,22
56,8,6,11,11,60,11
14,29,8,23,41,35,12
35,13,6,24,28,52,11
42,9,20,22,11,60,11
24,11,13,2,38,11,44
32,17,10,5,47,13,26
7,18,16,14,35,25,32
62,15,9,26,10,60,10
41,12,13,5,10,59,10
42,7,13,17,10,60,10
42,24,15,0,10,59,10
24,2,13,13,10,39,39
53,21,12,29,11,60,10
48,6,13,23,10,60,12
60,7,13,24,10,59,11
34,22,11,26,32,40,17
10,8,2,9,35,43,10
55,14,15,12,10,58,11
18,12,12,12,32,29,29
26,26,0,8,59,19,11
50,6,2,18,11,60,10
50,4,20,25,11,59,12
47,8,0,5,11,60,10
41,9,11,21,11,58,10
9,23,19,11,38,16,33
20,19,12,28,30,43,17
34,29,0,2,58,10,10
40,17,16,14,10,60,10
17,9,2,17,29,55,10
27,24,18,8,43,12,34
25,12,8,6,40,18,25
19,12,2,24,26,56,12
4,26,9,26,37,40,12
6,15,19,2,39,10,47
35,24,14,30,33,40,20
8,14,8,17,31,37,19
33,2,1,7,16,59,12
53,20,20,12,12,60,10
15,13,4,24,29,51,10
3,21,0,23,42,46,10
38,14,4,9,10,60,11
41,10,14,4,11,60,10
7,15,4,22,34,48,12
10,6,19,15,11,31,41
57,12,4,25,10,60,10
24,27,7,5,60,12,15
65,18,16,29,10,58,11
61,27,6,29,10,59,10
56,14,6,30,10,58,10
55,6,2,3,10,60,10
13,22,9,25,37,41,12
7,11,7,25,24,53,12
0,19,12,18,33,33,20
27,8,11,19,17,47,28
65,18,11,0,11,60,11
41,24,9,11,11,60,10
3,1,6,20,10,58,20
22,19,7,4,58,13,22
7,30,2,6,58,16,11
15,8,20,0,23,10,59
52,4,3,9,10,59,10
12,18,13,4,48,10,33
48,30,16,20,10,58,11
44,17,5,30,12,59,10
10,2,2,13,10,58,10
2,9,19,25,17,41,30
14,22,4,11,52,26,10
6,13,4,10,42,31,13
48,24,13,10,10,59,10
61,25,18,29,11,60,11
20,14,10,25,24,45,17
64,10,7,27,12,60,10
50,10,20,4,10,60,10
27,17,16,10,35,19,34
22,10,2,7,49,31,10
44,15,0,3,10,58,11
30,2,17,0,11,12,60
24,21,20,5,39,10,37
30,11,20,25,17,40,33
18,9,12,1,36,10,50
50,4,6,6,11,60,10
65,25,14,28,10,58,10
58,3,6,3,11,60,11
53,9,5,0,10,58,12
5,24,11,15,43,25,21
62,30,16,0,10,58,12
58,18,9,29,12,58,10
10,10,4,27,22,58,11
18,1,5,30,10,60,10
27,29,20,27,35,31,25
18,23,20,4,45,10,37
14,17,3,14,45,39,10
2,9,5,26,19,59,10
20,2,1,8,18,59,10
49,30,18,8,10,60,10
43,11,14,21,10,60,10
53,16,18,11,12,59,10
18,22,13,30,32,43,20
44,19,19,28,10,59,10
39,25,17,20,11,59,10
15,5,7,30,10,59,15
25,13,1,8,51,33,12
23,7,6,22,18,58,13
30,9,16,28,14,46,26
27,7,16,30,11,51,28
5,4,17,10,12,27,50
7,6,18,21,11,41,35
11,13,15,11,28,24,35
7,28,17,24,36,30,22
26,24,16,23,32,34,21
33,23,12,21,34,35,20
47,14,10,25,10,58,10
33,23,6,2,58,10,18
11,2,9,4,13,22,54
11,23,12,16,39,29,23
65,7,5,10,10,59,10
59,8,19,30,10,58,11
5,13,1,15,41,47,11
30,7,6,15,20,47,21
17,22,10,10,47,23,21
18,1,10,23,10,59,25
4,7,20,11,15,24,45
31,3,20,21,11,42,42
14,7,17,2,26,10,59
3,4,18,27,10,51,34
19,1,5,12,12,60,27
61,8,10,13,10,60,10
51,15,8,4,11,58,12
49,7,0,18,11,60,10
34,6,14,30,10,56,25
65,20,13,8,10,60,10
27,10,16,1,35,10,55
63,24,4,10,10,59,12
10,13,15,0,39,12,50
46,23,5,26,10,59,10
37,14,7,0,11,60,11
24,29,6,7,60,17,14
52,9,16,8,10,60,12
10,16,18,25,25,37,29
24,7,18,7,19,20,50
61,29,11,18,10,59,10
18,22,16,17,37,28,28
21,13,7,12,37,31,21
65,23,0,8,11,60,10
65,4,13,2,10,60,11
62,22,12,21,10,58,10
19,29,13,22,41,28,17
33,23,12,22,37,33,20
23,24,16,24,35,31,23
24,8,14,0,31,10,55
0,30,7,5,59,10,15
0,16,2,24,32,50,10
7,20,0,22,42,47,10
40,7,19,24,10,60,12
53,19,14,4,10,59,10
46,15,14,26,12,58,12
13,0,12,29,11,60,26
42,8,14,4,10,60,10
57,22,18,21,10,59,12
47,17,8,6,10,60,12
33,12,3,8,47,29,10
20,25,6,20,44,33,11
62,1,2,29,10,60,10
35,15,20,5,34,11,45
62,13,10,29,10,60,10
3,12,17,1,36,11,52
3,24,13,13,44,24,21
3,12,2,30,23,58,10
4,25,19,22,32,32,26
37,19,9,9,10,60,10
44,13,1,26,10,60,10
53,7,9,27,12,58,10
16,5,14,16,11,39,38
60,30,13,10,10,59,10
9,21,5,3,59,10,15
47,27,19,22,10,60,11
54,1,10,8,11,60,10
43,24,11,4,11,60,11
0,16,13,21,27,35,24
26,21,16,30,29,42,20
16,23,12,27,32,38,17
31,1,12,4,10,19,60
55,10,16,15,11,58,10
42,1,13,16,12,60,11
55,20,8,12,10,59,10
49,26,3,16,11,60,10
50,27,9,4,11,60,10
43,11,11,5,10,60,10
19,16,17,27,26,39,25
44,0,20,12,10,59,12
26,12,2,6,53,26,10
41,27,3,27,12,60,10
47,7,16,10,10,58,10
24,6,6,22,13,56,13
28,12,2,18,32,52,10
53,30,17,4,10,60,10
32,19,10,3,53,11,28
13,7,9,8,26,29,34
25,4,1,25,11,60,10
10,24,13,11,45,21,23
2,3,1,0,60,12,23
4,19,17,17,30,27,29
10,5,1,11,26,58,11
65,26,10,0,10,58,10
49,23,0,14,10,60,10
16,3,15,8,12,28,49
34,7,18,29,11,50,29
22,18,6,29,31,49,10
12,14,13,20,28,36,22
13,19,3,8,59,22,12
60,28,8,28,11,60,10
31,10,10,17,23,40,25
3,10,5,19,27,50,15
12,25,20,10,41,15,31
21,24,1,24,44,44,10
45,22,17,7,11,58,12
34,30,8,29,39,37,11
33,0,9,20,12,60,29
55,11,14,30,10,58,10
65,19,14,8,11,60,12
49,19,9,24,10,58,10
58,20,7,9,12,60,10
49,1,8,14,10,60,10
62,22,6,11,11,58,10
60,17,5,17,10,60,11
29,27,2,29,39,44,12
59,23,16,15,10,59,12
45,22,4,4,11,58,12
20,6,13,8,18,24,45
6,9,4,19,25,51,10
57,12,13,29,12,60,11
29,14,8,12,38,31,22
3,26,1,14,59,30,10
34,23,13,16,37,29,24
49,26,12,2,10,60,10
20,4,8,10,15,38,32
24,18,19,5,38,12,41
60,25,7,24,10,59,10
17,1,3,30,10,60,11
1,7,4,0,55,10,31
60,4,12,25,12,60,12
63,15,18,25,10,59,10
10,0,13,11,10,40,48
0,9,12,11,26,31,31
43,1,7,4,12,58,10
0,21,11,2,56,12,29
12,9,13,20,17,42,27
3,4,9,13,11,43,29
34,3,1,30,11,60,11
28,5,2,12,24,56,10
12,24,13,4,54,10,26
5,28,6,15,53,26,13
8,9,12,24,18,49,25
34,15,13,24,27,40,20
58,20,7,21,10,60,10
14,12,9,20,27,42,18
47,23,15,30,12,59,12
17,16,10,6,43,14,30
18,0,20,20,12,45,47
9,10,2,21,25,59,10
53,5,7,11,10,58,10
40,25,18,18,10,60,12
16,18,13,29,27,43,20
38,0,8,26,10,60,12
45,4,1,15,11,60,10
36,26,19,17,10,58,11
49,9,10,16,10,60,10
49,19,14,18,10,60,12
33,25,17,23,36,32,25
48,0,7,7,10,60,12
6,20,14,16,35,26,25
57,30,10,12,10,58,11
12,11,13,7,32,21,39
39,12,7,27,10,58,11
34,11,1,2,59,11,10
7,18,15,12,36,24,29
62,14,5,28,10,60,10
2,8,15,2,26,10,56
5,20,9,10,46,22,20
19,24,1,18,50,37,10
51,18,4,29,12,60,10
5,26,0,12,58,28,10
50,14,1,17,10,60,11
6,13,11,14,31,34,24
20,1,10,1,10,10,60
27,17,5,18,39,38,10
62,17,6,25,10,60,10
38,9,5,23,11,58,11
29,6,2,23,19,60,12
36,14,5,18,12,59,10
16,17,19,2,40,10,44
55,23,6,3,10,60,10
14,14,6,14,39,35,13
